,Reactor_nmd,Reactor_tax,Reactor_div,Sampling_day,Sampling_point,Days_operation,OLR ,HRT ,Sampling_interval ,Code,Phase
73,R3,R3,R3,08.04.21,T72,144,7.5,40,8,B73,Cond_2
74,R3,R3,R3,16.04.21,T76,152,7.5,40,8,B74,Cond_2
75,R3,R3,R3,24.04.21,T80,160,7.5,40,8,B75,Cond_2
76,R3,R3,R3,02.05.21,T84,168,7.5,40,8,B76,Cond_2
77,R3,R3,R3,10.05.21,T88,176,7.5,40,8,B77,Cond_2
78,R3,R3,R3,14.05.21,T90,180,7.5,40,4,B78,Cond_2
79,R3,R3,R3,18.05.21,T92,184,10,23,8,B79,Cond_3
8,R1,R1,R1,21.12.20,T20,40,5,8,12,B8,Adapt_phase
80,R3,R3,R3,26.05.21,T96,192,10,23,8,B80,Cond_3
81,R3,R3,R3,03.06.21,T100,200,10,23,8,B81,Cond_3
82,R3,R3,R3,11.06.21,T104,208,10,23,8,B82,Cond_3
83,R3,R3,R3,19.06.21,T108,216,10,23,8,B83,Cond_3
84,R3,R3,R3,27.06.21,T112,224,10,23,8,B84,Cond_3
85,Inoc,R1,Mid_Inoc,11.11.21,Mid_Inoc,R1-1,NA,NA,NA,B85,Mid_Inoc
86,Inoc,R1,Mid_Inoc,11.11.21,Mid_Inoc,R1-2,NA,NA,NA,B86,Mid_Inoc
87,Inoc,R1,Mid_Inoc,11.11.21,Mid_Inoc,R1-3,NA,NA,NA,B87,Mid_Inoc
88,Inoc,R2,Mid_Inoc,13.11.21,Mid_Inoc,R2-1,NA,NA,NA,B88,Mid_Inoc
89,Inoc,R2,Mid_Inoc,13.11.21,Mid_Inoc,R2-2,NA,NA,NA,B89,Mid_Inoc
9,R1,R1,R1,02.01.21,T26,52,5,8,12,B9,Cond_1
90,Inoc,R2,Mid_Inoc,13.11.21,Mid_Inoc,R2-3,NA,NA,NA,B90,Mid_Inoc
91,Inoc,R3,Hid_Inoc,15.11.21,Hid_Inoc,R3-1,NA,NA,NA,B91,Hid_Inoc
92,Inoc,R3,Hid_Inoc,15.11.21,Hid_Inoc,R3-2,NA,NA,NA,B92,Hid_Inoc
93,Inoc,R3,Hid_Inoc,15.11.21,Hid_Inoc,R3-3,NA,NA,NA,B93,Hid_Inoc
94,R1_F,R1_F,R1_F,27.06.21,R1_Foam,NA,NA,NA,NA,B94,R1_Foam
95,R2_F,R2_F,R2_F,27.06.21,R2_Foam,NA,NA,NA,NA,B95,R2_Foam
96,R3_F,R3_F,R3_F,27.06.21,R3_Foam,NA,NA,NA,NA,B96,R3_Foam
